"The greatest hits","Thudpucker, Jimmy","1977"
"Free as a breeze","Clarck, Michael","1977"
"Terence Boylan","Boylan, Terence ","1977"
"Lisa Dal Bello","Dal Bello, Lisa ","1977"
"Zigu zagu","Kisugi, Takao ","1977"
"Heart and soul","Peck, Danny ","1977"
"Baby it's me","Ross, Diana","1977"
"Down two then left","Scaggs, Boz","1977"
"Trying to get to you","Tan Tan","1978"
"Toto","Toto","1978"
"Ahead of the storm","Wells, Cory","1978"
"Touch me","Wells, Cory","1978"
"Songbird","Streisand, Barbra ","1978"
"West Coast confidential","Steve T.","1978"
"What have you done for love","Soundtrack","1978"
"You turn me around","Sharretts, The","1978"
"Leo Sayer","Sayer, Leo","1978"
"Too","Sager, Carol Bayer ","1978"
"We'll sing in the sunshine","Reddy, Helen ","1978"
"Take it on up","Pockets","1978"
"Kenji shock","Omura, Kenji ","1978"
"Song between us","Nolan, Kenny ","1978"
"Totally hot","Newton-John, Olivia ","1978"
"Well kept secret","Newton, Juice ","1978"
"A long time coming","McClusky, David ","1978"
"That's what friends are for","Mathis, J. & Deniece Williams ","1978"
"Cheryl Lynn","Lynn, Cheryl ","1978"
"Cheryl Ladd","Ladd, Cheryl ","1978"
"Peter Criss","Kiss","1978"
"Mannequin","Jordan, Marc ","1978"
"Keeping time","Jabara, Paul ","1978"
"What have you done for love","Hodges, James & Smith ","1978"
"Along the red ledge","Hall & Oates","1978"
"Blue virgin isle","Gardestad, Ted ","1978"
"Fuller/Kaz","Fuller, Craig & Eric Kaz ","1978"
"Dane Donohue","Donohue, Dane ","1978"
"Pretty girls","Dal Bello, Lisa ","1978"
"Peter Criss","Criss, Pete ","1978"
"From the inside","Cooper, Alice","1978"
"Give thanks","Cliff, Jimmy ","1978"
"Single","Champlin, Bill","1978"
"Wild child","Carter, Valerie ","1978"
"Yesterday dreams","Cadd, Brian ","1978"
"Heading home","Wright, Gary ","1979"
"Hydra","Toto","1979"
"Lauren Wood","Wood, Lauren","1979"
"Another night","Wilson Brothers ","1979"
"When love comes calling","Williams, Deniece ","1979"
"Flying colors","Trooper","1979"
"No escape","Tanner, Marc ","1979"
"Wet","Streisand, Barbra ","1979"
"Fast company","Soundtrack","1979"
"Hits","Scaggs, Boz","1979"
"Here","Sayer, Leo","1979"
"Suspended animation","Sands, Evie ","1979"
"Feel the night","Ritenour, Lee","1979"
"Do you wanna tonight","Patton, Robbie ","1979"
"Last joke","Noguchi, Goro ","1979"
"Readhead in trouble","Mitchell, Adam ","1979"
"Playing near the edge","McIan, Peter ","1979"
"Bottom line","Mayall, John ","1979"
"Groovin' you","Mason, Harvey ","1979"
"Extensions","Manhatten Transfer, The ","1979"
"Dance forever","Ladd, Cheryl ","1979"
"Leah Kunkel","Kunkel, Leah ","1979"
"Knock the walls down","Kipner, Steve ","1979"
"Blue desert","Jordan, Marc ","1979"
"Victim of love","John, Elton","1979"
"Kid blue","Goffin, Louise ","1979"
"Realce","Gil, Gilberto ","1979"
"You control me","Evans, Linda ","1979"
"Dr. Heckle & Mr. Jive","England, Dan & J.F. Coley ","1979"
"You're the one","Edelman, Randy ","1979"
"Steve Eaton","Eaton, Steve ","1979"
"I am","Earth, Wind & Fire ","1979"
"Stay with me","Dee, Kiki ","1979"
"Messin' with the boys","Currie, Cherie & Marie ","1979"
"Take me home","Cher","1979"
"Dream police","Cheap Trick","1979"
"Angelina","Cerrone","1979"
"Joyride","Brooklyn Dreams ","1979"
"This is our night","Bishop & Gwinn ","1979"
"American lovers","Tosti, Blaise","1980"
"Russian roulette","Triumvirat","1980"
"Supercharged","Tavares","1980"
"He who rides the tiger","Taupin, Bernie","1980"
"Miss M","Takeuchi, Mariya ","1980"
"Syreeta","Syreeta","1980"
"The wanderer","Summer, Donna","1980"
"Sweet & dandy","St. Nicklaus, Dick ","1980"
"Cheech & Chong's next movie","Soundtrack","1980"
"Urban cowboy","Soundtrack","1980"
"Stones","Seals, Dan","1980"
"Island nights","Sciuto, Tony ","1980"
"Middle man","Scaggs, Boz","1980"
"Makin' rock","Okumoto, Ryo","1980"
"Earth and sky","Nash, Graham ","1980"
"Mary MacGregor","MacGregor, Mary ","1980"
"I run with trouble","Kunkel, Leah ","1980"
"Ray Kennedy","Kennedy, Ray","1980"
"21 at 33","John, Elton","1980"
"Home bound","Hamada, Shogo ","1980"
"Recidive","Grimaldi & Zeiher ","1980"
"Aretha","Franklin, Aretha ","1980"
"All alone in the night","Farina, Sandy ","1980"
"Faces","Earth, Wind & Fire ","1980"
"Caught","Desario, Teri ","1980"
"Out of control","Criss, Pete ","1980"
"Prisoner","Cher","1980"
"Tonight you're mine","Carmen, Eric ","1980"
"Beausejour","Berger, Michael ","1980"
"Every home should have one","Austin, Patti ","1980"
"Alibi","America","1980"
"Bi-coastal","Allen, Peter ","1980"
"Airplay","Airplay","1980"
"Don't wanna loose you","Kane, Madleen","1981"
"Turn back","Toto","1981"
"Showcase","Sugano, Anri ","1981"
"Omen 3: The final conflict","Soundtrack (Jerry Goldsmith)","1981"
"In harmony","Soundtrack","1981"
"Sorrenti","Sorrenti, Alan","1981"
"Be my radio","Sciuto, Tony ","1981"
"Sometimes late at night","Sager, Carol Bayer ","1981"
"Love life","Russell, Brenda ","1981"
"The way I am","Preston, Billy ","1981"
"Pages","Pages","1981"
"Hot baby","Ozaki, Ami ","1981"
"Jealousy","Nitty Gritty Dirt Band ","1981"
"Physical","Newton-John, Olivia ","1981"
"Time no longer","Matsui, Kazu ","1981"
"Marginal love","Marian","1981"
"Mecca for moderns","Manhatten Transfer, The ","1981"
"Kelly Leslie & John Ford Coley","Leslie, Kelly & John Ford Coley ","1981"
"Greg Lake","Lake, Gregg","1981"
"Guitar technic of Steve Lukather","Kobayashi, Katsumi ","1981"
"Leave a little love","Jürgens, Udo ","1981"
